60;56.744;1.114;16.9
120;65.335;1.133;36.506
180;64.65;1.063;1.192
240;60.704;1.052;1.079
300;59.36;1.051;1.014
360;59.958;1.047;1.013
420;61.745;1.047;1.009
480;59.55;1.051;0.999
540;61.548;1.044;1.001
600;64.765;1.039;1.005
660;62.805;1.045;1.016
720;60.979;1.044;1.012
780;65.298;1.04;1.035
840;63.11;1.044;1.032
900;68.333;1.039;1.036
960;66.368;1.041;1517588171.327
1020;65.19;1.042;3476420687.67
1080;62.471;1.04;1.025
1140;63.6;1.083;42.334
1200;58.556;1.066;1.001
1260;59.172;1.088;1.084
1320;61.037;1.052;1.008
1380;65.451;1.045;1.059
1440;64.929;1.047;3.311
1500;63.968;1.084;1.026
1560;59.112;1.059;1.02
1620;62.411;1.047;2.844
1680;62.372;1.047;1.105
1740;62.017;1.044;1.026
1800;60.229;1.043;1.03
1860;64.391;1.055;1.055
1920;65.988;1.073;1.104
1980;65.723;1.041;1.032
2040;64.385;1.04;1.062
2100;61.009;1.048;1.025
2160;60.75;1.043;1.078
2220;61.877;1.04;1.031
2280;58.379;1.092;1.077
2340;64.803;1.057;1.028
2400;59.6;1.051;21.171
2460;61.067;1.044;1.007
2520;60.304;1.056;1.015
2580;59.306;1.072;1.03
2640;60.126;1.081;1.023
2700;58.479;1.052;1.065
2760;58.803;1.057;1.024
2820;63.483;1.082;774.474
2880;81.28;1.102;3.446
2940;68.623;1.155;153.646
3000;61.293;1.064;1.033
3060;62.662;1.107;1.134
3120;56.837;1.124;1.068
3180;58.012;1.06;1.011
3240;58.354;1.054;1.067
3300;60.816;1.046;2.321
3360;63.052;1.043;1.074
3420;60.324;1.045;1.026
3480;59.933;1.044;1.115
3540;58.534;1.07;1.083
3600;59.9;1.066;1.006
3660;59.156;1.048;1.009
3720;57.921;1.109;1.195
3780;55.452;1.126;1.003
3840;59.23;1.208;1.135
3900;58.553;1.061;1.009
3960;57.224;1.054;1.073
4020;59.292;1.064;1.032
4080;57.558;1.057;1.025
4140;56.267;1.058;1.03
4200;61.438;1.108;1.042
4260;60.784;1.152;1.288
4320;56.72;1.067;1.02
4380;64.012;1.222;1.253
4440;58.072;1.085;1.053
4500;68.034;1.213;1.132
4560;60.971;1.06;1.122
4620;59.638;1.04;1.03
4680;61.056;1.041;1.026
4740;66.038;1.037;1.072
4800;69;1.078;1.12
4860;63.506;1.119;1.25
4920;67.553;1.376;1.123
4980;59.619;1.078;1.027
5040;73.437;1.038;1.105
5100;73.264;1.295;1.402
5160;55.502;1.157;1.105
5220;44.832;1.287;589.998
5280;55.992;1.082;0.996
5340;55.84;1.098;1.009
5400;54.627;1.055;1.009
5460;51.223;1.05;1.017
5520;55.139;1.048;1.007
5580;55.025;1.054;1.016
5640;53.896;1.044;1.003
5700;54.945;1.043;0.997
5760;54.735;1.072;1490275.075
5820;52.78;1.074;0.996
5880;52.778;1.074;0.996
5940;52.777;1.074;0.996
6000;52.782;1.074;0.996
6060;52.771;1.074;0.996
6120;52.78;1.074;0.996
6180;52.774;1.074;0.996
6240;52.785;1.074;0.996
6300;52.77;1.074;0.996
6360;52.781;1.074;0.996
6420;52.782;1.074;0.996
6480;52.777;1.074;0.996
6540;52.782;1.074;0.996
6600;52.781;1.074;0.996
6660;52.774;1.074;0.996
6720;52.781;1.074;0.996
6780;52.777;1.074;0.996
6840;52.774;1.074;0.996
6900;52.782;1.074;0.996
6960;52.774;1.074;0.996
7020;52.777;1.074;0.996
7080;49.967;1.074;1.28
7140;47.798;1.074;0.996
7200;47.795;1.074;0.996
7260;47.802;1.074;0.996
7320;47.799;1.074;0.996
7380;47.798;1.074;0.996
7440;47.798;1.074;0.996
7500;47.798;1.074;0.996
7560;47.798;1.074;0.996
7620;47.796;1.074;0.996
7680;47.801;1.074;0.996
7740;47.798;1.074;0.996
7800;47.796;1.074;0.996
7860;47.8;1.074;0.996
7920;47.797;1.074;0.996
7980;47.803;1.074;0.996
8040;47.795;1.074;0.996
8100;47.796;1.074;0.996
8160;47.797;1.074;0.996
8220;47.801;1.074;0.996
8280;47.797;1.074;0.996
8340;47.8;1.074;0.996
8400;47.802;1.074;0.996
8460;47.8;1.074;0.996
8520;47.799;1.074;0.996
8580;47.803;1.074;0.996
8640;47.788;1.074;0.996
8700;47.804;1.074;0.996
8760;47.795;1.074;0.996
8820;47.802;1.074;0.996
8880;47.802;1.074;0.996
8940;47.794;1.074;0.996
