60,60,1.164,3.488,put on 11:10pm,
120,60,1.408,3.854,,
180,59.149,1.301,2.432,,
240,59.105,1.068,2.082,,
300,55.571,1.087,1.125,,
360,60.308,1.041,1.009,,
420,57.046,1.04,1.136,,
480,60.481,1.041,1.557,,
540,60.636,1.037,1.494,,
600,63.267,1.043,2.022,,
660,62.444,1.035,0.535,,
720,60.933,1.048,0.548,,
780,65.479,1.061,1.557,,
840,59.9,1.039,1.866,,
900,59.74,1.038,1.565,,
960,61.449,1.047,1.58,,
1020,62.012,1.052,1.99,,
1080,63.148,1.051,1.656,,
1140,61.104,1.043,0.901,,
1200,60.987,1.042,0.933,,
1260,58.747,1.042,0.54,,
1320,60.335,1.039,0.736,,
1380,55.713,1.09,1.142,,
1440,59.642,1.056,0.978,,
1500,66.314,1.091,1.791,,
1560,65.763,1.073,1.276,,
1620,60.844,1.076,1.551,,
1680,65.373,1.099,2.288,,
1740,63.246,1.074,1.5,,
1800,61.945,1.042,2.015,,
1860,45.178,1.039,0.285,,
1920,45.431,1.074,2.673,,
1980,58.525,1.084,1.963,,
2040,56.431,1.053,1.63,,
2100,55.82,1.053,1.438,,
2160,55.864,1.043,1.649,,
2220,56.615,1.046,1.717,,
2280,54.545,1.042,1.59,,
2340,52.802,1.048,1.83,,
2400,55.305,1.057,1.909,,
2460,64.059,1.123,2.307,,
2520,59.108,1.052,2.273,,
2580,62.962,1.046,1.709,,
2640,56.19,1.052,1.173,,
2700,72.448,1.042,2.29,,
2760,69.067,1.056,2.611,,
2820,74.351,1.034,2.646,,
2880,50.45,1.133,2.046,Fell Asleep,~12am
2940,56.284,1.099,0.668,,
3000,51.621,1.161,0,,
3060,55.263,1.161,0.077,,
3120,54.774,1.161,0.038,,
3180,54.77,1.161,0,,
3240,54.766,1.161,0,,
3300,54.774,1.161,0,,
3360,54.774,1.161,0,,
3420,54.77,1.161,0,,
3480,54.766,1.161,0,,
3540,54.77,1.161,0,,
3600,54.77,1.161,0,,
3660,54.77,1.161,0,,
3720,54.77,1.161,0,,
3780,53.047,1.161,0.063,,
3840,52.782,1.161,0,,
3900,52.78,1.161,0,,
3960,52.776,1.161,0,,
4020,52.785,1.161,0,,
4080,52.779,1.161,0,,
4140,44.569,1.175,0.423,,
4200,48.682,1.075,0.881,,
4260,52.201,1.051,0.909,,
4320,50.004,1.043,0.51,,
4380,52.364,1.045,0.887,,
4440,49.1,1.043,0.943,,
4500,52.209,1.039,0.985,,
